Author	Title	Tool: label	Tool: score	Szepes-Szerdahelyi	Comment
Berzsenyi Dániel	A TÁNCOK	dactylic	0.26	dactylic	distich
Berzsenyi Dániel	NAPOLEONHOZ	dactylic	0.3	dactylic	distich
Kisfaludy Károly	Mohács.	dactylic	0.5	dactylic	distich
Kölcsey Ferenc	HUSZT	dactylic	0.56	dactylic	distich
Juhász Gyula	Negyvenhatosok	dactylic	0.55	dactylic	distich
Babits Mihály	Hiszekegy	dactylic	0.27	dactylic	distich
József Attila	EGY SPANYOL FÖLDMÍVES SÍRVERSE	dactylic	0.65	dactylic	distich
Babits Mihály	Május huszonhárom Rákospalotán	dactylic	0.66	dactylic	distich
Babits Mihály	Új Leoninusok	dactylic	0.55	dactylic	distich
József Attila	LEÁNYKÉRŐ ÉNEK	dactylic	0.81	dactylic	
Radnóti Miklós	Éjszaka	dactylic	0.88	dactylic	
Arany János	ÁRTATLAN DAC	dactylic	0.34	dactylic	
Tompa Mihály	VÍZ-DAL.	dactylic	0.55	dactylic	
Komjáthy Jenő	JELENÉSEK	dactylic	0.41	dactylic	
Balassi Bálint	KÖNYÖRÖG ISTENNEK, HOGY BUJDOSÁSÁBAN VISELJE KEGYELMESEN GONDJÁT, S TERJESSZE IS REÁ ÚJOBB ÁLDÁSÁT	5-5_6		5-5_6	in the book: 5-5-6
Petőfi Sándor	K... VILMOS BARÁTOMHOZ	4-4-3		4-4-3	
Arany János	NEMZETŐR-DAL	4-6		4-6	
Arany János	RÓZSA SÁNDOR	4-4_4		4-4_4	
Arany János	A HAMIS TANÚ	6-6		6-6	
Arany János	ÉN VAGYOK AZ ANYÁM ÁTKA...	4-4		4-4	
Petőfi Sándor	EZRIVEL TEREM A FÁN A MEGGY...	False		4-4_1	
Arany János	TÖRÖK BÁLINT	4-3-3		4-3-3	
Petőfi Sándor	ANYÁM TYÚKJA	4-4		4-4	
Arany János	A MÉH ROMÁNCA	4_6		4_6	
Arany János	NYALKA HUSZÁR	4-6		4-6	
Arany János	AZ Ó TORONY	4-6		4-6	
Arany János	VÁGY [1]	4-6		4-6	
Arany János	RÉGI JÓ IDŐBŐL	4-4_6		4-4_6	
Petőfi Sándor	JÁRNAK, KELNEK SOKAN ZÖLD ERDŐBEN...	4-6		4-6	
Petőfi Sándor	AZ ALFÖLD	4-6		4-6	
Petőfi Sándor	SZILAJ PISTA	4-6		4-6	
Petőfi Sándor	KUTYAKAPARÓ	4-6_6		4-6_6	
Petőfi Sándor	A TISZA	4-6		4-6	
Petőfi Sándor	KEMÉNY SZÉL FÚJ...	4-6		4-6	
Petőfi Sándor	SZÜLŐFÖLDEMEN	4-6		4-6	
Petőfi Sándor	A NEMZETHEZ	4-6		4-6	
Petőfi Sándor	A VÉN ZÁSZLÓTARTÓ	4-6		4-6	
Arany János	TOLDI	6-6		6-6	
Arany János	CSALÁDI KÖR	6-6		6-6	
Petőfi Sándor	JÁNOS VITÉZ	6-6		6-6	
Arany János	LÓRA...!	6-6		4-2-4-2	
Csokonai Vitéz Mihály	Szerelemdal a csikóbőrös kulacshoz	False		4-4	
Kisfaludy Károly	10. Szülőföldem szép határa!	4-4		4-4	
Petőfi Sándor	BEFORDÚLTAM A KONYHÁRA...	4-4		4-4	
Balassi Bálint	HARMINCKILENCEDIK HOGY JULIÁRA TALÁLA, ÍGY KÖSZÖNE NÉKI	4-4		4-4	
József Attila	VÁRAKOZÁS	4-4-4-4		4-4-4-4	
Balassi Bálint	ADJ MÁR CSENDESSÉGET	6-6_4		6-6_4	
Balassi Bálint	ÖTVENEGYEDIK HOGY NYERTE EL JULIA A CUPIDO NYILÁT, ÍJÁT S HOL VISELI, AZT ÍRJA MEG, KÖNYÖRÖGVÉN AZ VÉGÉBEN ITT IS AZ JULIÁNAK	5-5_6		5-5_6	
Balassi Bálint	MÉGIS BŐVEBB SZÓVAL KÉRLELI ISTENNEK HARAGJÁT	5-5_6		5-5_6	
Balassi Bálint	[HUSZONKILENCEDIK] VIGESIMUM NONUM CARMEN TENUI NEC PINGUI MINERVA COMPOSITUM	4-4-6		4-4-6	
Petőfi Sándor	HÁBORU VOLT...	4-4_6		4-4_6	
Kölcsey Ferenc	HIMNUSZ	False		4-3_6	
Faludi Ferenc	TÜNDÉRKERT	4-4_4-3		4-4_4-3	
Kazinczy Ferenc	BOR MELLETT	False		4-4_4-3	
Csokonai Vitéz Mihály	A rózsabimbóhoz	False		4-4_4-3	It is not clear whether the book refers to a stanza or to the whole poem, but according to its own principles, the poem should not be a poem with qualitative meter. However, I take this poem as not well analyzed by the tool.
József Attila	TISZTA SZÍVVEL	4-3		4-3	
Ady Endre	FAJTÁDDAL EGYÜTT ÁTKOZLAK	5-5		5-5	
Ady Endre	A PERC-EMBERKÉK UTÁN	5-5		5-5	
Tinódi Sebestyén	SOKFÉLE RÉSZÖGÖSRŐL	4-4-5		4-4-5	
József Attila	MINDEN RENDŰ EMBERI DOLGOKHOZ	4-4-5		4-4-5	
Petőfi Sándor	RESZKET A BOKOR, MERT...	3-3		3-3	
Petőfi Sándor	SZERETLEK, KEDVESEM!	6		6	
Ady Endre	AZ ÁGYAM HÍVOGAT	3-3		3-3	
József Attila	(KEDVESEM BETEGEN...)	3-3		3-3	
Kosztolányi Dezső	Ilona	3		3	
Babits Mihály	Kép egy falusi csárdában	3-3_2		3-3_2	
Ady Endre	A LÓ KÉRDEZ	5-3-2		3-2-3-2	
József Attila	MIKOR AZ UCCÁN ÁTMENT A KEDVES	5-3-2		3-2-3-2	
József Attila	NYÁRI DÉLUTÁN	3-2-2_3-3		5-2_3-3	The tool outputs this analysis for this poem because it analyzes the boundaries between the bars independently from each other. Maybe, in the future, this method should be changed.
